Oxymax PARAMETER File 

CSV FILE CREATION:11/01/2023 13:33:13
EXPERIMENT START:24/05/2021 11:39:46
DATA FILENAME:C:\Program Files (x86)\Oxymax\EXP m Run5.18.CDTA

GROUP/CAGE:0101
SUBJECT ID:
SUBJECT MASS:16.96 

GROUP/CAGE:0102
SUBJECT ID:Mouse m32
SUBJECT MASS:17.09 

GROUP/CAGE:0103
SUBJECT ID:Mouse m33
SUBJECT MASS:10 

GROUP/CAGE:0104
SUBJECT ID:Mouse m34
SUBJECT MASS:15.94 

SCAN RATE:90 seconds

PARAMETER:FEED1 (grams)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 34 ,24/05/2021 12:30:57 , 0 ,24/05/2021 12:30:57 , 0 ,24/05/2021 12:30:57 , 0 ,24/05/2021 12:30:57 , 0 ,
 35 ,24/05/2021 12:32:27 , 0 ,24/05/2021 12:32:27 , 0 ,24/05/2021 12:32:27 , 0 ,24/05/2021 12:32:27 , 0 ,
 36 ,24/05/2021 12:33:57 , 0 ,24/05/2021 12:33:57 , 0 ,24/05/2021 12:33:57 , 0 ,24/05/2021 12:33:57 , 0 ,
 37 ,24/05/2021 12:35:27 , 0 ,24/05/2021 12:35:27 , 0 ,24/05/2021 12:35:27 , 0 ,24/05/2021 12:35:27 , 0 ,
 38 ,24/05/2021 12:36:57 , 0 ,24/05/2021 12:36:57 , 0 ,24/05/2021 12:36:57 , 0 ,24/05/2021 12:36:57 , 0 ,
 39 ,24/05/2021 12:38:27 , 0 ,24/05/2021 12:38:27 , 0 ,24/05/2021 12:38:27 , 0 ,24/05/2021 12:38:27 , 0 ,
 40 ,24/05/2021 12:39:57 , 0 ,24/05/2021 12:39:57 , 0 ,24/05/2021 12:39:57 , 0 ,24/05/2021 12:39:57 , 0 ,
 41 ,24/05/2021 12:41:27 , 0 ,24/05/2021 12:41:27 , 0 ,24/05/2021 12:41:27 , 0 ,24/05/2021 12:41:27 , 0 ,
 42 ,24/05/2021 12:42:57 , 0 ,24/05/2021 12:42:57 , 0 ,24/05/2021 12:42:57 , 0 ,24/05/2021 12:42:57 , 0 ,
 43 ,24/05/2021 12:44:27 , 0 ,24/05/2021 12:44:27 , 0 ,24/05/2021 12:44:27 , 0 ,24/05/2021 12:44:27 , 0 ,
 44 ,24/05/2021 12:45:57 , 0 ,24/05/2021 12:45:57 , 0 ,24/05/2021 12:45:57 , 0 ,24/05/2021 12:45:57 , 0 ,
 45 ,24/05/2021 12:47:27 , 0 ,24/05/2021 12:47:27 , 0 ,24/05/2021 12:47:27 , 0 ,24/05/2021 12:47:27 , 0 ,
 46 ,24/05/2021 12:48:57 , 0 ,24/05/2021 12:48:57 , 0 ,24/05/2021 12:48:57 , 0 ,24/05/2021 12:48:57 , 0 ,
 47 ,24/05/2021 12:50:27 , 0 ,24/05/2021 12:50:27 , 0 ,24/05/2021 12:50:27 , 0 ,24/05/2021 12:50:27 , 0 ,
 48 ,24/05/2021 12:51:57 , 0 ,24/05/2021 12:51:57 , 0 ,24/05/2021 12:51:57 , 0 ,24/05/2021 12:51:57 , 0 ,
 49 ,24/05/2021 12:53:27 , 0 ,24/05/2021 12:53:27 , 0 ,24/05/2021 12:53:27 , 0 ,24/05/2021 12:53:27 , 0 ,
 50 ,24/05/2021 12:54:57 , 0 ,24/05/2021 12:54:57 , 0 ,24/05/2021 12:54:57 , 0 ,24/05/2021 12:54:57 , 0 ,
 51 ,24/05/2021 12:56:27 , 0 ,24/05/2021 12:56:27 , 0 ,24/05/2021 12:56:27 , 0 ,24/05/2021 12:56:27 , 0 ,
 52 ,24/05/2021 12:57:57 , 0 ,24/05/2021 12:57:57 , 0 ,24/05/2021 12:57:57 , 0 ,24/05/2021 12:57:57 , 0 ,
 53 ,24/05/2021 12:59:27 , 0 ,24/05/2021 12:59:27 , 0 ,24/05/2021 12:59:27 , 0 ,24/05/2021 12:59:27 , 0 ,
 54 ,24/05/2021 13:00:57 , 0 ,24/05/2021 13:00:57 , 0 ,24/05/2021 13:00:57 , 0 ,24/05/2021 13:00:57 , 0 ,
 55 ,24/05/2021 13:02:27 , 0 ,24/05/2021 13:02:27 , 0 ,24/05/2021 13:02:27 , 0 ,24/05/2021 13:02:27 , 0 ,
 56 ,24/05/2021 13:03:57 , 0 ,24/05/2021 13:03:57 , 0 ,24/05/2021 13:03:57 , 0 ,24/05/2021 13:03:57 , 0 ,
 57 ,24/05/2021 13:05:27 , 0 ,24/05/2021 13:05:27 , 0 ,24/05/2021 13:05:27 , 0 ,24/05/2021 13:05:27 , 0 ,
 58 ,24/05/2021 13:06:57 , 0 ,24/05/2021 13:06:57 , 0 ,24/05/2021 13:06:57 , 0 ,24/05/2021 13:06:57 , 0 ,
