Oxymax PARAMETER File 

CSV FILE CREATION:11/01/2023 13:36:35
EXPERIMENT START:25/01/2022 21:59:56
DATA FILENAME:C:\Program Files (x86)\Oxymax\EXP m Run6.12.CDTA

GROUP/CAGE:0101
SUBJECT ID:Mouse m35
SUBJECT MASS:20.79 

GROUP/CAGE:0102
SUBJECT ID:Mouse m36
SUBJECT MASS:22.73 

GROUP/CAGE:0103
SUBJECT ID:Mouse m37
SUBJECT MASS:20.98 

GROUP/CAGE:0104
SUBJECT ID:
SUBJECT MASS:200 

SCAN RATE:90 seconds

PARAMETER:FEED1 (grams)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 34 ,25/01/2022 22:51:07 , 0 ,25/01/2022 22:51:07 , 0 ,25/01/2022 22:51:07 , 0 ,25/01/2022 22:51:07 , 0 ,
 35 ,25/01/2022 22:52:37 , 0 ,25/01/2022 22:52:37 , 0 ,25/01/2022 22:52:37 , 0 ,25/01/2022 22:52:37 , 0 ,
 36 ,25/01/2022 22:54:07 , 0 ,25/01/2022 22:54:07 , 0 ,25/01/2022 22:54:07 , 0 ,25/01/2022 22:54:07 , 0 ,
 37 ,25/01/2022 22:55:37 , 0 ,25/01/2022 22:55:37 , 0 ,25/01/2022 22:55:37 , 0 ,25/01/2022 22:55:37 , 0 ,
 38 ,25/01/2022 22:57:07 , 0 ,25/01/2022 22:57:07 , 0 ,25/01/2022 22:57:07 , 0 ,25/01/2022 22:57:07 , 0 ,
 39 ,25/01/2022 22:58:37 , 0 ,25/01/2022 22:58:37 , 0 ,25/01/2022 22:58:37 , 0 ,25/01/2022 22:58:37 , 0 ,
 40 ,25/01/2022 23:00:07 , 0 ,25/01/2022 23:00:07 , 0 ,25/01/2022 23:00:07 , 0 ,25/01/2022 23:00:07 , 0 ,
 41 ,25/01/2022 23:01:37 , 0.3900001 ,25/01/2022 23:01:37 , 0 ,25/01/2022 23:01:37 , 0 ,25/01/2022 23:01:37 , 0 ,
 42 ,25/01/2022 23:03:07 , 0 ,25/01/2022 23:03:07 , 0 ,25/01/2022 23:03:07 , 0 ,25/01/2022 23:03:07 , 0 ,
 43 ,25/01/2022 23:04:37 , 0 ,25/01/2022 23:04:37 , 0 ,25/01/2022 23:04:37 , 0 ,25/01/2022 23:04:37 , 0 ,
 44 ,25/01/2022 23:06:07 , 0 ,25/01/2022 23:06:07 , 0 ,25/01/2022 23:06:07 , 0 ,25/01/2022 23:06:07 , 0 ,
 45 ,25/01/2022 23:07:37 , 0 ,25/01/2022 23:07:37 , 0 ,25/01/2022 23:07:37 , 0 ,25/01/2022 23:07:37 , 0 ,
 46 ,25/01/2022 23:09:07 , 0 ,25/01/2022 23:09:07 , 0 ,25/01/2022 23:09:07 , 0 ,25/01/2022 23:09:07 , 0 ,
 47 ,25/01/2022 23:10:37 , 0 ,25/01/2022 23:10:37 , 0 ,25/01/2022 23:10:37 , 0 ,25/01/2022 23:10:37 , 0 ,
 48 ,25/01/2022 23:12:07 , 0 ,25/01/2022 23:12:07 , 0 ,25/01/2022 23:12:07 , 0 ,25/01/2022 23:12:07 , 0 ,
 49 ,25/01/2022 23:13:37 , 0 ,25/01/2022 23:13:37 , 0 ,25/01/2022 23:13:37 , 0 ,25/01/2022 23:13:37 , 0 ,
 50 ,25/01/2022 23:15:07 , 0 ,25/01/2022 23:15:07 , 0 ,25/01/2022 23:15:07 , 0 ,25/01/2022 23:15:07 , 0 ,
 51 ,25/01/2022 23:16:37 , 0 ,25/01/2022 23:16:37 , 0 ,25/01/2022 23:16:37 , 0 ,25/01/2022 23:16:37 , 0 ,
 52 ,25/01/2022 23:18:07 , 0 ,25/01/2022 23:18:07 , 0 ,25/01/2022 23:18:07 , 0 ,25/01/2022 23:18:07 , 0 ,
 53 ,25/01/2022 23:19:37 , 0 ,25/01/2022 23:19:37 , 0 ,25/01/2022 23:19:37 , 0 ,25/01/2022 23:19:37 , 0 ,
 54 ,25/01/2022 23:21:07 , 0 ,25/01/2022 23:21:07 , 0 ,25/01/2022 23:21:07 , 0 ,25/01/2022 23:21:07 , 0 ,
 55 ,25/01/2022 23:22:37 , 0 ,25/01/2022 23:22:37 , 0 ,25/01/2022 23:22:37 , 0 ,25/01/2022 23:22:37 , 0 ,
 56 ,25/01/2022 23:24:07 , 0 ,25/01/2022 23:24:07 , 0 ,25/01/2022 23:24:07 , 0 ,25/01/2022 23:24:07 , 0 ,
 57 ,25/01/2022 23:25:37 , 0 ,25/01/2022 23:25:37 , 0 ,25/01/2022 23:25:37 , 0 ,25/01/2022 23:25:37 , 0 ,
 58 ,25/01/2022 23:27:07 , 0 ,25/01/2022 23:27:07 , 0 ,25/01/2022 23:27:07 , 0 ,25/01/2022 23:27:07 , 0 ,
 59 ,25/01/2022 23:28:37 , 0 ,25/01/2022 23:28:37 , 0 ,25/01/2022 23:28:37 , 0 ,25/01/2022 23:28:37 , 0 ,
 60 ,25/01/2022 23:30:07 , 0 ,25/01/2022 23:30:07 , 0 ,25/01/2022 23:30:07 , 0 ,25/01/2022 23:30:07 , 0 ,
 61 ,25/01/2022 23:31:37 , 0.0999999 ,25/01/2022 23:31:37 , 0.04 ,25/01/2022 23:31:37 , 0.06 ,25/01/2022 23:31:37 , 0 ,
 62 ,25/01/2022 23:33:07 , 4.000008E-02 ,25/01/2022 23:33:07 , 0.44 ,25/01/2022 23:33:07 , 0.69 ,25/01/2022 23:33:07 , 0 ,
 63 ,25/01/2022 23:34:37 , 0.0999999 ,25/01/2022 23:34:37 , 0.75 ,25/01/2022 23:34:37 , 0.35 ,25/01/2022 23:34:37 , 0 ,
 64 ,25/01/2022 23:36:07 , 0.2600001 ,25/01/2022 23:36:07 , 0 ,25/01/2022 23:36:07 , 0.1 ,25/01/2022 23:36:07 , 0 ,
 65 ,25/01/2022 23:37:37 , 8.999991E-02 ,25/01/2022 23:37:37 , 0.73 ,25/01/2022 23:37:37 , 0.3299999 ,25/01/2022 23:37:37 , 0 ,
 66 ,25/01/2022 23:39:07 , 0 ,25/01/2022 23:39:07 , 0.45 ,25/01/2022 23:39:07 , 1.02 ,25/01/2022 23:39:07 , 0 ,
 67 ,25/01/2022 23:40:37 , 0 ,25/01/2022 23:40:37 , 0.3 ,25/01/2022 23:40:37 , 0 ,25/01/2022 23:40:37 , 0 ,
 68 ,25/01/2022 23:42:07 , 0 ,25/01/2022 23:42:07 , 0.1700001 ,25/01/2022 23:42:07 , 5.999994E-02 ,25/01/2022 23:42:07 , 0 ,
 69 ,25/01/2022 23:43:37 , 0 ,25/01/2022 23:43:37 , 0.1899998 ,25/01/2022 23:43:37 , 0 ,25/01/2022 23:43:37 , 0 ,
 70 ,25/01/2022 23:45:07 , 0 ,25/01/2022 23:45:07 , 0.4100001 ,25/01/2022 23:45:07 ,-9.99999E-03 ,25/01/2022 23:45:07 , 0 ,
 71 ,25/01/2022 23:46:37 , 0 ,25/01/2022 23:46:37 , 0.25 ,25/01/2022 23:46:37 ,-9.99999E-03 ,25/01/2022 23:46:37 , 0 ,
 72 ,25/01/2022 23:48:07 , 0 ,25/01/2022 23:48:07 , 0 ,25/01/2022 23:48:07 ,-9.99999E-03 ,25/01/2022 23:48:07 , 0 ,
 73 ,25/01/2022 23:49:37 , 0 ,25/01/2022 23:49:37 , 0 ,25/01/2022 23:49:37 ,-1.999998E-02 ,25/01/2022 23:49:37 , 0 ,
 74 ,25/01/2022 23:51:07 , 0 ,25/01/2022 23:51:07 , 0 ,25/01/2022 23:51:07 , 9.99999E-03 ,25/01/2022 23:51:07 , 0 ,
 75 ,25/01/2022 23:52:37 , 0 ,25/01/2022 23:52:37 , 5.999994E-02 ,25/01/2022 23:52:37 , 4.999995E-02 ,25/01/2022 23:52:37 , 0 ,
 76 ,25/01/2022 23:54:07 , 0 ,25/01/2022 23:54:07 , 0 ,25/01/2022 23:54:07 , 0 ,25/01/2022 23:54:07 , 0 ,
 77 ,25/01/2022 23:55:37 , 0 ,25/01/2022 23:55:37 , 0.1900001 ,25/01/2022 23:55:37 , 1.000023E-02 ,25/01/2022 23:55:37 , 0 ,
 78 ,25/01/2022 23:57:07 , 0 ,25/01/2022 23:57:07 , 5.999994E-02 ,25/01/2022 23:57:07 , 0 ,25/01/2022 23:57:07 , 0 ,
 79 ,25/01/2022 23:58:37 , 0 ,25/01/2022 23:58:37 , 0 ,25/01/2022 23:58:37 ,-1.000023E-02 ,25/01/2022 23:58:37 , 0 ,
 80 ,26/01/2022 00:00:07 , 0 ,26/01/2022 00:00:07 , 0 ,26/01/2022 00:00:07 ,-2.999997E-02 ,26/01/2022 00:00:07 , 0 ,
 81 ,26/01/2022 00:01:37 , 9.99999E-03 ,26/01/2022 00:01:37 , 0 ,26/01/2022 00:01:37 , 0 ,26/01/2022 00:01:37 , 0 ,
 82 ,26/01/2022 00:03:07 , 3.999996E-02 ,26/01/2022 00:03:07 , 3.999996E-02 ,26/01/2022 00:03:07 , 1.999998E-02 ,26/01/2022 00:03:07 , 0 ,
 83 ,26/01/2022 00:04:37 , 7.000017E-02 ,26/01/2022 00:04:37 , 1.000023E-02 ,26/01/2022 00:04:37 ,-1.999998E-02 ,26/01/2022 00:04:37 , 0 ,
 84 ,26/01/2022 00:06:07 , 8.999991E-02 ,26/01/2022 00:06:07 , 9.999752E-03 ,26/01/2022 00:06:07 , 0 ,26/01/2022 00:06:07 , 0 ,
 85 ,26/01/2022 00:07:37 , 0.22 ,26/01/2022 00:07:37 , 0 ,26/01/2022 00:07:37 , 0.0400002 ,26/01/2022 00:07:37 , 0 ,
 86 ,26/01/2022 00:09:07 , 0 ,26/01/2022 00:09:07 , 0 ,26/01/2022 00:09:07 ,-1.000023E-02 ,26/01/2022 00:09:07 , 0 ,
 87 ,26/01/2022 00:10:37 , 0 ,26/01/2022 00:10:37 , 0 ,26/01/2022 00:10:37 , 3.000021E-02 ,26/01/2022 00:10:37 , 0 ,
 88 ,26/01/2022 00:12:07 , 0 ,26/01/2022 00:12:07 , 0 ,26/01/2022 00:12:07 , 0.1499999 ,26/01/2022 00:12:07 , 0 ,
 89 ,26/01/2022 00:13:37 , 0 ,26/01/2022 00:13:37 , 0.1199999 ,26/01/2022 00:13:37 , 0 ,26/01/2022 00:13:37 , 0 ,
 90 ,26/01/2022 00:15:07 , 0 ,26/01/2022 00:15:07 , 0 ,26/01/2022 00:15:07 , 0 ,26/01/2022 00:15:07 , 0 ,
 91 ,26/01/2022 00:16:37 , 0 ,26/01/2022 00:16:37 , 1.999998E-02 ,26/01/2022 00:16:37 , 0 ,26/01/2022 00:16:37 , 0 ,
 92 ,26/01/2022 00:18:07 , 0 ,26/01/2022 00:18:07 , 0.1800003 ,26/01/2022 00:18:07 ,-2.999997E-02 ,26/01/2022 00:18:07 , 0 ,
 93 ,26/01/2022 00:19:37 , 0 ,26/01/2022 00:19:37 , 0.21 ,26/01/2022 00:19:37 , 0 ,26/01/2022 00:19:37 , 0 ,
 94 ,26/01/2022 00:21:07 , 0 ,26/01/2022 00:21:07 , 0 ,26/01/2022 00:21:07 , 0 ,26/01/2022 00:21:07 , 0 ,
 95 ,26/01/2022 00:22:37 , 0 ,26/01/2022 00:22:37 , 0 ,26/01/2022 00:22:37 , 0 ,26/01/2022 00:22:37 , 0 ,
 96 ,26/01/2022 00:24:07 , 0 ,26/01/2022 00:24:07 , 0 ,26/01/2022 00:24:07 ,-3.999996E-02 ,26/01/2022 00:24:07 , 0 ,
 97 ,26/01/2022 00:25:37 , 0 ,26/01/2022 00:25:37 , 0 ,26/01/2022 00:25:37 ,-0.1100001 ,26/01/2022 00:25:37 , 0 ,
 98 ,26/01/2022 00:27:07 , 0 ,26/01/2022 00:27:07 , 0 ,26/01/2022 00:27:07 , 0 ,26/01/2022 00:27:07 , 0 ,
 99 ,26/01/2022 00:28:37 , 0 ,26/01/2022 00:28:37 , 0 ,26/01/2022 00:28:37 , 0.1100001 ,26/01/2022 00:28:37 , 0 ,
 100 ,26/01/2022 00:30:07 , 0 ,26/01/2022 00:30:07 , 0 ,26/01/2022 00:30:07 , 0 ,26/01/2022 00:30:07 , 0 ,
 101 ,26/01/2022 00:31:37 , 6.999993E-02 ,26/01/2022 00:31:37 , 0 ,26/01/2022 00:31:37 , 0 ,26/01/2022 00:31:37 , 0 ,
 102 ,26/01/2022 00:33:07 , 1.999998E-02 ,26/01/2022 00:33:07 , 0 ,26/01/2022 00:33:07 , 0 ,26/01/2022 00:33:07 , 0 ,
 103 ,26/01/2022 00:34:37 , 0 ,26/01/2022 00:34:37 , 0 ,26/01/2022 00:34:37 , 0 ,26/01/2022 00:34:37 , 0 ,
 104 ,26/01/2022 00:36:07 ,-9.99999E-03 ,26/01/2022 00:36:07 , 0 ,26/01/2022 00:36:07 ,-9.99999E-03 ,26/01/2022 00:36:07 , 0 ,
 105 ,26/01/2022 00:37:37 , 0 ,26/01/2022 00:37:37 , 0 ,26/01/2022 00:37:37 , 0 ,26/01/2022 00:37:37 , 0 ,
 106 ,26/01/2022 00:39:07 , 0 ,26/01/2022 00:39:07 , 0 ,26/01/2022 00:39:07 , 0 ,26/01/2022 00:39:07 , 0 ,
 107 ,26/01/2022 00:40:37 , 0 ,26/01/2022 00:40:37 , 0 ,26/01/2022 00:40:37 , 0 ,26/01/2022 00:40:37 , 0 ,
 108 ,26/01/2022 00:42:07 , 0 ,26/01/2022 00:42:07 , 0 ,26/01/2022 00:42:07 , 0 ,26/01/2022 00:42:07 , 0 ,
 109 ,26/01/2022 00:43:37 , 0 ,26/01/2022 00:43:37 , 0 ,26/01/2022 00:43:37 , 0 ,26/01/2022 00:43:37 , 0 ,
 110 ,26/01/2022 00:45:07 , 0 ,26/01/2022 00:45:07 , 0 ,26/01/2022 00:45:07 , 0 ,26/01/2022 00:45:07 , 0 ,
 111 ,26/01/2022 00:46:37 , 0 ,26/01/2022 00:46:37 , 0 ,26/01/2022 00:46:37 , 0 ,26/01/2022 00:46:37 , 0 ,
 112 ,26/01/2022 00:48:07 , 0 ,26/01/2022 00:48:07 , 0 ,26/01/2022 00:48:07 , 9.99999E-03 ,26/01/2022 00:48:07 , 0 ,
 113 ,26/01/2022 00:49:37 , 0 ,26/01/2022 00:49:37 , 0 ,26/01/2022 00:49:37 , 0 ,26/01/2022 00:49:37 , 0 ,
 114 ,26/01/2022 00:51:07 , 0 ,26/01/2022 00:51:07 , 0 ,26/01/2022 00:51:07 , 0 ,26/01/2022 00:51:07 , 0 ,
 115 ,26/01/2022 00:52:37 , 0 ,26/01/2022 00:52:37 , 0 ,26/01/2022 00:52:37 , 0 ,26/01/2022 00:52:37 , 0 ,
 116 ,26/01/2022 00:54:07 , 0 ,26/01/2022 00:54:07 , 0 ,26/01/2022 00:54:07 , 0 ,26/01/2022 00:54:07 , 0 ,
