Oxymax PARAMETER File 

CSV FILE CREATION:26/01/2021 16:23:48
EXPERIMENT START:14/12/2020 09:35:09
DATA FILENAME:C:\Program Files (x86)\Oxymax\EXP m Run 3.11.CDTA

GROUP/CAGE:0101
SUBJECT ID:Mouse m19
SUBJECT MASS:21.1 

GROUP/CAGE:0102
SUBJECT ID:Mouse m20
SUBJECT MASS:19.55 

GROUP/CAGE:0103
SUBJECT ID:Mouse m24
SUBJECT MASS:20.26 

GROUP/CAGE:0104
SUBJECT ID:Mouse m25
SUBJECT MASS:20.66 

SCAN RATE:90 seconds

PARAMETER:FEED1 (grams)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,14/12/2020 09:36:50 , 0 ,14/12/2020 09:36:50 , 0 ,14/12/2020 09:36:50 , 0 ,14/12/2020 09:36:50 , 0 ,
 2 ,14/12/2020 09:38:20 , 0 ,14/12/2020 09:38:20 , 0 ,14/12/2020 09:38:20 , 0 ,14/12/2020 09:38:20 , 0 ,
 3 ,14/12/2020 09:39:50 , 0 ,14/12/2020 09:39:50 , 0 ,14/12/2020 09:39:50 , 0 ,14/12/2020 09:39:50 , 0 ,
 4 ,14/12/2020 09:41:20 , 0 ,14/12/2020 09:41:20 , 0 ,14/12/2020 09:41:20 , 0 ,14/12/2020 09:41:20 , 0 ,
 5 ,14/12/2020 09:42:50 , 0 ,14/12/2020 09:42:50 , 0 ,14/12/2020 09:42:50 , 0 ,14/12/2020 09:42:50 , 0 ,
 6 ,14/12/2020 09:44:20 , 0 ,14/12/2020 09:44:20 , 0 ,14/12/2020 09:44:20 , 0 ,14/12/2020 09:44:20 , 0 ,
 7 ,14/12/2020 09:45:50 , 0 ,14/12/2020 09:45:50 , 0 ,14/12/2020 09:45:50 , 0 ,14/12/2020 09:45:50 , 0 ,
 8 ,14/12/2020 09:47:20 , 0 ,14/12/2020 09:47:20 , 0 ,14/12/2020 09:47:20 , 0 ,14/12/2020 09:47:20 , 0 ,
 9 ,14/12/2020 09:48:50 , 0 ,14/12/2020 09:48:50 , 0 ,14/12/2020 09:48:50 , 0 ,14/12/2020 09:48:50 , 0 ,
 10 ,14/12/2020 09:50:20 , 0 ,14/12/2020 09:50:20 , 0 ,14/12/2020 09:50:20 , 0 ,14/12/2020 09:50:20 , 0 ,
 11 ,14/12/2020 09:51:50 , 0 ,14/12/2020 09:51:50 , 0 ,14/12/2020 09:51:50 , 0 ,14/12/2020 09:51:50 , 0 ,
 12 ,14/12/2020 09:53:20 , 0 ,14/12/2020 09:53:20 , 0 ,14/12/2020 09:53:20 , 0 ,14/12/2020 09:53:20 , 0 ,
 13 ,14/12/2020 09:54:50 , 0 ,14/12/2020 09:54:50 , 0 ,14/12/2020 09:54:50 , 0 ,14/12/2020 09:54:50 , 0 ,
 14 ,14/12/2020 09:56:20 , 0 ,14/12/2020 09:56:20 , 0 ,14/12/2020 09:56:20 , 0 ,14/12/2020 09:56:20 , 0 ,
 15 ,14/12/2020 09:57:50 , 0 ,14/12/2020 09:57:50 , 0 ,14/12/2020 09:57:50 , 0 ,14/12/2020 09:57:50 , 0 ,
 16 ,14/12/2020 09:59:20 , 0 ,14/12/2020 09:59:20 , 0 ,14/12/2020 09:59:20 , 0 ,14/12/2020 09:59:20 , 0 ,
 17 ,14/12/2020 10:00:50 , 0 ,14/12/2020 10:00:50 , 0 ,14/12/2020 10:00:50 , 0 ,14/12/2020 10:00:50 , 0 ,
 18 ,14/12/2020 10:02:20 , 0 ,14/12/2020 10:02:20 , 0 ,14/12/2020 10:02:20 , 0 ,14/12/2020 10:02:20 , 0 ,
 19 ,14/12/2020 10:03:50 , 0 ,14/12/2020 10:03:50 , 0 ,14/12/2020 10:03:50 , 0 ,14/12/2020 10:03:50 , 0 ,
 20 ,14/12/2020 10:05:20 , 0 ,14/12/2020 10:05:20 , 0 ,14/12/2020 10:05:20 , 0 ,14/12/2020 10:05:20 , 0 ,
 21 ,14/12/2020 10:06:50 , 0 ,14/12/2020 10:06:50 , 0 ,14/12/2020 10:06:50 , 0 ,14/12/2020 10:06:50 , 0 ,
 22 ,14/12/2020 10:08:20 , 0 ,14/12/2020 10:08:20 , 0 ,14/12/2020 10:08:20 , 0 ,14/12/2020 10:08:20 , 0 ,
 23 ,14/12/2020 10:09:50 , 0 ,14/12/2020 10:09:50 , 0 ,14/12/2020 10:09:50 , 0 ,14/12/2020 10:09:50 , 0 ,
 24 ,14/12/2020 10:11:20 , 0 ,14/12/2020 10:11:20 , 0 ,14/12/2020 10:11:20 , 0 ,14/12/2020 10:11:20 , 0 ,
 25 ,14/12/2020 10:12:50 , 0 ,14/12/2020 10:12:50 , 0 ,14/12/2020 10:12:50 , 0 ,14/12/2020 10:12:50 , 0 ,
 26 ,14/12/2020 10:14:20 , 0 ,14/12/2020 10:14:20 , 0 ,14/12/2020 10:14:20 , 0 ,14/12/2020 10:14:20 , 0 ,
 27 ,14/12/2020 10:15:50 , 0 ,14/12/2020 10:15:50 , 0 ,14/12/2020 10:15:50 , 0 ,14/12/2020 10:15:50 , 0 ,
 28 ,14/12/2020 10:17:20 , 0 ,14/12/2020 10:17:20 , 0 ,14/12/2020 10:17:20 , 0 ,14/12/2020 10:17:20 , 0 ,
 29 ,14/12/2020 10:18:50 , 0 ,14/12/2020 10:18:50 , 0 ,14/12/2020 10:18:50 , 0 ,14/12/2020 10:18:50 , 0 ,
 30 ,14/12/2020 10:20:20 , 0 ,14/12/2020 10:20:20 , 0 ,14/12/2020 10:20:20 , 0 ,14/12/2020 10:20:20 , 0 ,
 31 ,14/12/2020 10:21:50 , 0 ,14/12/2020 10:21:50 , 0 ,14/12/2020 10:21:50 , 0 ,14/12/2020 10:21:50 , 0 ,
 32 ,14/12/2020 10:23:20 , 0 ,14/12/2020 10:23:20 , 0 ,14/12/2020 10:23:20 , 0 ,14/12/2020 10:23:20 , 0 ,
 33 ,14/12/2020 10:24:50 , 0 ,14/12/2020 10:24:50 , 0 ,14/12/2020 10:24:50 , 0 ,14/12/2020 10:24:50 , 0 ,
 34 ,14/12/2020 10:26:20 , 0 ,14/12/2020 10:26:20 , 0 ,14/12/2020 10:26:20 , 0 ,14/12/2020 10:26:20 , 0 ,
 35 ,14/12/2020 10:27:50 , 0 ,14/12/2020 10:27:50 , 0 ,14/12/2020 10:27:50 , 0 ,14/12/2020 10:27:50 , 0 ,
 36 ,14/12/2020 10:29:20 , 0 ,14/12/2020 10:29:20 , 0 ,14/12/2020 10:29:20 , 0 ,14/12/2020 10:29:20 , 0 ,
 37 ,14/12/2020 10:30:50 , 0 ,14/12/2020 10:30:50 , 0 ,14/12/2020 10:30:50 , 0 ,14/12/2020 10:30:50 , 0 ,
 38 ,14/12/2020 10:32:20 , 0 ,14/12/2020 10:32:20 , 0 ,14/12/2020 10:32:20 , 0 ,14/12/2020 10:32:20 , 0 ,
