Oxymax PARAMETER File 

CSV FILE CREATION:11/01/2023 13:25:32
EXPERIMENT START:28/01/2021 10:39:43
DATA FILENAME:C:\Program Files (x86)\Oxymax\EXP m Run 4.0.CDTA

GROUP/CAGE:0101
SUBJECT ID:Mouse m26
SUBJECT MASS:20.27 

GROUP/CAGE:0102
SUBJECT ID:Mouse m27
SUBJECT MASS:18.61 

GROUP/CAGE:0103
SUBJECT ID:Mouse m28
SUBJECT MASS:20.97 

GROUP/CAGE:0104
SUBJECT ID:Mouse m29
SUBJECT MASS:18.67 

SCAN RATE:90 seconds

PARAMETER:FEED1 (grams)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,28/01/2021 10:41:24 , 0.01 ,28/01/2021 10:41:24 , 0 ,28/01/2021 10:41:24 ,-0.01 ,28/01/2021 10:41:24 , 0 ,
 2 ,28/01/2021 10:42:54 ,-0.01 ,28/01/2021 10:42:54 , 0 ,28/01/2021 10:42:54 , 0.01 ,28/01/2021 10:42:54 , 0 ,
 3 ,28/01/2021 10:44:24 , 0 ,28/01/2021 10:44:24 , 0 ,28/01/2021 10:44:24 , 0 ,28/01/2021 10:44:24 , 0 ,
 4 ,28/01/2021 10:45:54 , 0 ,28/01/2021 10:45:54 , 0 ,28/01/2021 10:45:54 , 0 ,28/01/2021 10:45:54 , 0 ,
 5 ,28/01/2021 10:47:24 , 0 ,28/01/2021 10:47:24 , 0 ,28/01/2021 10:47:24 , 0 ,28/01/2021 10:47:24 , 0 ,
 6 ,28/01/2021 10:48:54 , 0 ,28/01/2021 10:48:54 , 0 ,28/01/2021 10:48:54 , 0 ,28/01/2021 10:48:54 , 0 ,
 7 ,28/01/2021 10:50:24 , 0 ,28/01/2021 10:50:24 , 0 ,28/01/2021 10:50:24 , 0 ,28/01/2021 10:50:24 , 0 ,
 8 ,28/01/2021 10:51:54 , 0 ,28/01/2021 10:51:54 ,-0.02 ,28/01/2021 10:51:54 , 0 ,28/01/2021 10:51:54 , 0 ,
 9 ,28/01/2021 10:53:24 , 0 ,28/01/2021 10:53:24 , 0.02 ,28/01/2021 10:53:24 , 0 ,28/01/2021 10:53:24 , 0 ,
 10 ,28/01/2021 10:54:54 , 0 ,28/01/2021 10:54:54 , 0 ,28/01/2021 10:54:54 , 0 ,28/01/2021 10:54:54 , 0 ,
 11 ,28/01/2021 10:56:24 , 0 ,28/01/2021 10:56:24 , 0 ,28/01/2021 10:56:24 , 0 ,28/01/2021 10:56:24 , 0 ,
 12 ,28/01/2021 10:57:54 , 0 ,28/01/2021 10:57:54 , 0 ,28/01/2021 10:57:54 , 0 ,28/01/2021 10:57:54 , 0 ,
 13 ,28/01/2021 10:59:24 , 0 ,28/01/2021 10:59:24 , 0 ,28/01/2021 10:59:24 , 0.02 ,28/01/2021 10:59:24 , 0 ,
 14 ,28/01/2021 11:00:54 , 0 ,28/01/2021 11:00:54 , 0 ,28/01/2021 11:00:54 ,-0.01 ,28/01/2021 11:00:54 , 0 ,
 15 ,28/01/2021 11:02:24 , 0 ,28/01/2021 11:02:24 , 0 ,28/01/2021 11:02:24 , 0 ,28/01/2021 11:02:24 , 0 ,
 16 ,28/01/2021 11:03:54 , 0 ,28/01/2021 11:03:54 , 0 ,28/01/2021 11:03:54 , 0.01 ,28/01/2021 11:03:54 , 0 ,
 17 ,28/01/2021 11:05:24 , 0 ,28/01/2021 11:05:24 , 0 ,28/01/2021 11:05:24 , 0 ,28/01/2021 11:05:24 , 0 ,
 18 ,28/01/2021 11:06:54 , 0 ,28/01/2021 11:06:54 , 0 ,28/01/2021 11:06:54 , 0 ,28/01/2021 11:06:54 , 0 ,
 19 ,28/01/2021 11:08:24 , 0 ,28/01/2021 11:08:24 , 0 ,28/01/2021 11:08:24 , 0.01 ,28/01/2021 11:08:24 , 0 ,
 20 ,28/01/2021 11:09:54 , 0 ,28/01/2021 11:09:54 , 0 ,28/01/2021 11:09:54 , 0 ,28/01/2021 11:09:54 , 0 ,
 21 ,28/01/2021 11:11:24 , 0 ,28/01/2021 11:11:24 , 0 ,28/01/2021 11:11:24 , 0 ,28/01/2021 11:11:24 , 0 ,
 22 ,28/01/2021 11:12:54 , 0 ,28/01/2021 11:12:54 , 0 ,28/01/2021 11:12:54 , 0.01 ,28/01/2021 11:12:54 , 0 ,
 23 ,28/01/2021 11:14:24 , 0 ,28/01/2021 11:14:24 , 0 ,28/01/2021 11:14:24 , 0 ,28/01/2021 11:14:24 , 0 ,
 24 ,28/01/2021 11:15:54 , 0 ,28/01/2021 11:15:54 , 0 ,28/01/2021 11:15:54 , 0.01 ,28/01/2021 11:15:54 , 0 ,
 25 ,28/01/2021 11:17:24 , 0 ,28/01/2021 11:17:24 , 0 ,28/01/2021 11:17:24 , 0 ,28/01/2021 11:17:24 , 0 ,
 26 ,28/01/2021 11:18:54 , 0 ,28/01/2021 11:18:54 , 0 ,28/01/2021 11:18:54 , 0 ,28/01/2021 11:18:54 , 0 ,
 27 ,28/01/2021 11:20:24 , 0 ,28/01/2021 11:20:24 , 0 ,28/01/2021 11:20:24 , 9.999998E-03 ,28/01/2021 11:20:24 , 0 ,
 28 ,28/01/2021 11:21:54 , 0 ,28/01/2021 11:21:54 , 0 ,28/01/2021 11:21:54 , 0 ,28/01/2021 11:21:54 , 0 ,
 29 ,28/01/2021 11:23:24 , 0 ,28/01/2021 11:23:24 , 0 ,28/01/2021 11:23:24 , 0 ,28/01/2021 11:23:24 , 0 ,
 30 ,28/01/2021 11:24:54 , 0 ,28/01/2021 11:24:54 , 0 ,28/01/2021 11:24:54 , 0 ,28/01/2021 11:24:54 , 0 ,
 31 ,28/01/2021 11:26:24 , 0 ,28/01/2021 11:26:24 , 0 ,28/01/2021 11:26:24 , 0 ,28/01/2021 11:26:24 , 0 ,
 32 ,28/01/2021 11:27:54 , 0 ,28/01/2021 11:27:54 , 0 ,28/01/2021 11:27:54 , 0.01 ,28/01/2021 11:27:54 , 0 ,
 33 ,28/01/2021 11:29:24 , 0 ,28/01/2021 11:29:24 , 0 ,28/01/2021 11:29:24 , 0 ,28/01/2021 11:29:24 , 0 ,
 34 ,28/01/2021 11:30:54 , 0 ,28/01/2021 11:30:54 , 0 ,28/01/2021 11:30:54 , 0 ,28/01/2021 11:30:54 , 0 ,
 35 ,28/01/2021 11:32:24 , 0 ,28/01/2021 11:32:24 , 0 ,28/01/2021 11:32:24 , 0 ,28/01/2021 11:32:24 , 0 ,
 36 ,28/01/2021 11:33:54 , 0 ,28/01/2021 11:33:54 , 0 ,28/01/2021 11:33:54 , 0 ,28/01/2021 11:33:54 , 0 ,
 37 ,28/01/2021 11:35:24 , 0 ,28/01/2021 11:35:24 , 0 ,28/01/2021 11:35:24 , 0 ,28/01/2021 11:35:24 , 0 ,
