Oxymax PARAMETER File 

CSV FILE CREATION:11/01/2023 13:27:54
EXPERIMENT START:09/02/2021 22:00:07
DATA FILENAME:C:\Program Files (x86)\Oxymax\EXP m Run 4.12.CDTA

GROUP/CAGE:0101
SUBJECT ID:Mouse m26
SUBJECT MASS:20.4 

GROUP/CAGE:0102
SUBJECT ID:Mouse m27
SUBJECT MASS:21.71 

GROUP/CAGE:0103
SUBJECT ID:Mouse m28
SUBJECT MASS:18.23 

GROUP/CAGE:0104
SUBJECT ID:Mouse m29
SUBJECT MASS:18.15 

SCAN RATE:90 seconds

PARAMETER:FEED1 (grams)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 33 ,09/02/2021 22:49:48 , 0 ,09/02/2021 22:49:48 , 0 ,09/02/2021 22:49:48 , 0 ,09/02/2021 22:49:48 , 0 ,
 34 ,09/02/2021 22:51:18 , 0.01 ,09/02/2021 22:51:18 , 0 ,09/02/2021 22:51:18 , 0 ,09/02/2021 22:51:18 , 0 ,
 35 ,09/02/2021 22:52:48 , 0 ,09/02/2021 22:52:48 , 0 ,09/02/2021 22:52:48 , 0 ,09/02/2021 22:52:48 , 0 ,
 36 ,09/02/2021 22:54:18 , 0 ,09/02/2021 22:54:18 , 0 ,09/02/2021 22:54:18 , 0 ,09/02/2021 22:54:18 , 0 ,
 37 ,09/02/2021 22:55:48 , 0 ,09/02/2021 22:55:48 , 0 ,09/02/2021 22:55:48 , 0 ,09/02/2021 22:55:48 , 0 ,
 38 ,09/02/2021 22:57:18 , 0 ,09/02/2021 22:57:18 , 0 ,09/02/2021 22:57:18 , 0 ,09/02/2021 22:57:18 , 0 ,
 39 ,09/02/2021 22:58:48 , 0 ,09/02/2021 22:58:48 , 0 ,09/02/2021 22:58:48 , 0 ,09/02/2021 22:58:48 , 0 ,
 40 ,09/02/2021 23:00:18 , 0 ,09/02/2021 23:00:18 , 0 ,09/02/2021 23:00:18 , 0 ,09/02/2021 23:00:18 , 0 ,
 41 ,09/02/2021 23:01:48 , 0 ,09/02/2021 23:01:48 , 9.99999E-03 ,09/02/2021 23:01:48 , 0 ,09/02/2021 23:01:48 , 0 ,
 42 ,09/02/2021 23:03:18 , 0 ,09/02/2021 23:03:18 , 0 ,09/02/2021 23:03:18 , 0.01 ,09/02/2021 23:03:18 , 0 ,
 43 ,09/02/2021 23:04:48 , 0 ,09/02/2021 23:04:48 , 0 ,09/02/2021 23:04:48 , 0 ,09/02/2021 23:04:48 , 0 ,
 44 ,09/02/2021 23:06:18 , 0 ,09/02/2021 23:06:18 , 0 ,09/02/2021 23:06:18 , 0 ,09/02/2021 23:06:18 , 0 ,
 45 ,09/02/2021 23:07:48 , 0 ,09/02/2021 23:07:48 , 0 ,09/02/2021 23:07:48 , 0 ,09/02/2021 23:07:48 , 0 ,
 46 ,09/02/2021 23:09:18 , 0 ,09/02/2021 23:09:18 , 0 ,09/02/2021 23:09:18 , 0 ,09/02/2021 23:09:18 , 0 ,
 47 ,09/02/2021 23:10:48 , 0 ,09/02/2021 23:10:48 , 0 ,09/02/2021 23:10:48 , 0 ,09/02/2021 23:10:48 , 0 ,
 48 ,09/02/2021 23:12:18 , 0 ,09/02/2021 23:12:18 , 0 ,09/02/2021 23:12:18 , 0 ,09/02/2021 23:12:18 , 0 ,
 49 ,09/02/2021 23:13:48 , 0 ,09/02/2021 23:13:48 , 0 ,09/02/2021 23:13:48 , 0 ,09/02/2021 23:13:48 , 0 ,
 50 ,09/02/2021 23:15:18 , 0 ,09/02/2021 23:15:18 , 0 ,09/02/2021 23:15:18 , 0 ,09/02/2021 23:15:18 , 0 ,
 51 ,09/02/2021 23:16:48 , 0 ,09/02/2021 23:16:48 , 0 ,09/02/2021 23:16:48 , 0 ,09/02/2021 23:16:48 , 0 ,
 52 ,09/02/2021 23:18:18 , 0 ,09/02/2021 23:18:18 , 0 ,09/02/2021 23:18:18 , 0 ,09/02/2021 23:18:18 , 0.01 ,
 53 ,09/02/2021 23:19:48 , 0 ,09/02/2021 23:19:48 , 9.99999E-03 ,09/02/2021 23:19:48 , 0 ,09/02/2021 23:19:48 , 0 ,
