Oxymax PARAMETER File 

CSV FILE CREATION:26/01/2021 16:25:02
EXPERIMENT START:14/12/2020 21:59:48
DATA FILENAME:C:\Program Files (x86)\Oxymax\EXP m Run 3.12.CDTA

GROUP/CAGE:0101
SUBJECT ID:Mouse m19
SUBJECT MASS:21.1 

GROUP/CAGE:0102
SUBJECT ID:Mouse m20
SUBJECT MASS:19.55 

GROUP/CAGE:0103
SUBJECT ID:Mouse m24
SUBJECT MASS:20.26 

GROUP/CAGE:0104
SUBJECT ID:Mouse m25
SUBJECT MASS:20.66 

SCAN RATE:90 seconds

PARAMETER:FEED1 (grams)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,14/12/2020 22:01:28 , 0.08 ,14/12/2020 22:01:28 , 0 ,14/12/2020 22:01:28 , 0.02 ,14/12/2020 22:01:28 , 0 ,
 2 ,14/12/2020 22:02:58 ,-0.02 ,14/12/2020 22:02:58 ,-0.03 ,14/12/2020 22:02:58 ,-0.02 ,14/12/2020 22:02:58 ,-0.01 ,
 3 ,14/12/2020 22:04:28 , 0 ,14/12/2020 22:04:28 , 0.01 ,14/12/2020 22:04:28 ,-0.03 ,14/12/2020 22:04:28 ,-0.02 ,
 4 ,14/12/2020 22:05:58 , 0.66 ,14/12/2020 22:05:58 , 0.01 ,14/12/2020 22:05:58 ,-0.01 ,14/12/2020 22:05:58 , 0 ,
 5 ,14/12/2020 22:07:28 , 0 ,14/12/2020 22:07:28 , 0 ,14/12/2020 22:07:28 , 0.03 ,14/12/2020 22:07:28 , 0 ,
 6 ,14/12/2020 22:08:58 , 9.99999E-03 ,14/12/2020 22:08:58 , 0 ,14/12/2020 22:08:58 , 0.23 ,14/12/2020 22:08:58 , 0.01 ,
 7 ,14/12/2020 22:10:28 , 0 ,14/12/2020 22:10:28 , 0 ,14/12/2020 22:10:28 , 0.35 ,14/12/2020 22:10:28 , 0 ,
 8 ,14/12/2020 22:11:58 , 0 ,14/12/2020 22:11:58 , 0.01 ,14/12/2020 22:11:58 , 0 ,14/12/2020 22:11:58 , 0 ,
 9 ,14/12/2020 22:13:28 , 0 ,14/12/2020 22:13:28 , 0 ,14/12/2020 22:13:28 , 9.99999E-03 ,14/12/2020 22:13:28 , 0 ,
 10 ,14/12/2020 22:14:58 , 0 ,14/12/2020 22:14:58 , 0 ,14/12/2020 22:14:58 , 0 ,14/12/2020 22:14:58 , 0 ,
 11 ,14/12/2020 22:16:28 , 0 ,14/12/2020 22:16:28 , 0 ,14/12/2020 22:16:28 , 0 ,14/12/2020 22:16:28 , 0 ,
 12 ,14/12/2020 22:17:58 , 0 ,14/12/2020 22:17:58 , 0 ,14/12/2020 22:17:58 , 0 ,14/12/2020 22:17:58 , 0 ,
 13 ,14/12/2020 22:19:28 , 0 ,14/12/2020 22:19:28 , 0 ,14/12/2020 22:19:28 , 0 ,14/12/2020 22:19:28 , 0 ,
 14 ,14/12/2020 22:20:58 , 0 ,14/12/2020 22:20:58 , 0 ,14/12/2020 22:20:58 , 0 ,14/12/2020 22:20:58 , 0 ,
 15 ,14/12/2020 22:22:28 , 0 ,14/12/2020 22:22:28 , 0 ,14/12/2020 22:22:28 , 0 ,14/12/2020 22:22:28 , 0 ,
 16 ,14/12/2020 22:23:58 , 0 ,14/12/2020 22:23:58 , 0 ,14/12/2020 22:23:58 , 0 ,14/12/2020 22:23:58 , 0 ,
 17 ,14/12/2020 22:25:28 , 0 ,14/12/2020 22:25:28 , 0 ,14/12/2020 22:25:28 , 9.99999E-03 ,14/12/2020 22:25:28 , 0 ,
 18 ,14/12/2020 22:26:58 , 0 ,14/12/2020 22:26:58 , 0 ,14/12/2020 22:26:58 , 0 ,14/12/2020 22:26:58 , 0 ,
 19 ,14/12/2020 22:28:28 , 9.99999E-03 ,14/12/2020 22:28:28 , 0 ,14/12/2020 22:28:28 , 0 ,14/12/2020 22:28:28 , 0.01 ,
 20 ,14/12/2020 22:29:58 , 0 ,14/12/2020 22:29:58 , 0 ,14/12/2020 22:29:58 , 0 ,14/12/2020 22:29:58 , 0 ,
 21 ,14/12/2020 22:31:28 , 0.6799999 ,14/12/2020 22:31:28 , 0 ,14/12/2020 22:31:28 , 3.000003E-02 ,14/12/2020 22:31:28 , 0 ,
 22 ,14/12/2020 22:32:58 , 0 ,14/12/2020 22:32:58 , 0 ,14/12/2020 22:32:58 , 0.26 ,14/12/2020 22:32:58 , 0 ,
 23 ,14/12/2020 22:34:28 , 9.99999E-03 ,14/12/2020 22:34:28 , 0 ,14/12/2020 22:34:28 ,-9.99999E-03 ,14/12/2020 22:34:28 , 0 ,
 24 ,14/12/2020 22:35:58 , 0 ,14/12/2020 22:35:58 , 0 ,14/12/2020 22:35:58 , 0 ,14/12/2020 22:35:58 , 0 ,
 25 ,14/12/2020 22:37:28 , 0 ,14/12/2020 22:37:28 , 0 ,14/12/2020 22:37:28 , 0 ,14/12/2020 22:37:28 , 0 ,
 26 ,14/12/2020 22:38:58 , 0 ,14/12/2020 22:38:58 , 0 ,14/12/2020 22:38:58 , 0 ,14/12/2020 22:38:58 , 0 ,
 27 ,14/12/2020 22:40:28 , 0 ,14/12/2020 22:40:28 , 0 ,14/12/2020 22:40:28 , 0 ,14/12/2020 22:40:28 , 0 ,
 28 ,14/12/2020 22:41:58 , 0 ,14/12/2020 22:41:58 , 0 ,14/12/2020 22:41:58 , 0 ,14/12/2020 22:41:58 , 0 ,
 29 ,14/12/2020 22:43:28 , 0 ,14/12/2020 22:43:28 , 0 ,14/12/2020 22:43:28 , 9.99999E-03 ,14/12/2020 22:43:28 , 0 ,
 30 ,14/12/2020 22:44:58 , 0 ,14/12/2020 22:44:58 , 0 ,14/12/2020 22:44:58 , 0 ,14/12/2020 22:44:58 , 0 ,
 31 ,14/12/2020 22:46:28 , 0 ,14/12/2020 22:46:28 , 0 ,14/12/2020 22:46:28 , 0 ,14/12/2020 22:46:28 , 0 ,
 32 ,14/12/2020 22:47:58 , 0 ,14/12/2020 22:47:58 , 0 ,14/12/2020 22:47:58 , 0 ,14/12/2020 22:47:58 , 0 ,
 33 ,14/12/2020 22:49:28 , 0 ,14/12/2020 22:49:28 , 0 ,14/12/2020 22:49:28 , 0 ,14/12/2020 22:49:28 , 0 ,
 34 ,14/12/2020 22:50:58 , 0 ,14/12/2020 22:50:58 , 0 ,14/12/2020 22:50:58 , 0 ,14/12/2020 22:50:58 , 0 ,
 35 ,14/12/2020 22:52:28 , 0 ,14/12/2020 22:52:28 , 0 ,14/12/2020 22:52:28 , 0 ,14/12/2020 22:52:28 , 0 ,
 36 ,14/12/2020 22:53:58 , 0 ,14/12/2020 22:53:58 , 0 ,14/12/2020 22:53:58 , 0 ,14/12/2020 22:53:58 , 0 ,
 37 ,14/12/2020 22:55:28 , 0 ,14/12/2020 22:55:28 , 0 ,14/12/2020 22:55:28 , 0 ,14/12/2020 22:55:28 , 0 ,
